President,Removals,Removals Per Year,Political Party,Years in Office
Benjamin Harrison,"2,801","2,801",Republican,1
Grover Cleveland,"9,069","2,267",Democrat,4
William McKinley,"17,642","3,528",Republican,5
Theodore Roosevelt,"76,390","10,913",Republican,7
William H. Taft,"83,150","20,788",Republican,4
Woodrow Wilson,"162,371","20,296",Democrat,8
Warren G. Harding,"60,652","20,217",Republican,3
Calvin Coolidge,"164,913","32,983",Republican,5
Herbert Hoover,"110,275","27,569",Republican,4
Franklin D. Roosevelt,"171,939","13,226",Democrat,13
Harry S. Truman,"140,553","20,079",Democrat,7
Dwight D. Eisenhower,"110,019","13,752",Republican,8
John F. Kennedy,"23,969","7,990",Democrat,3
Lyndon B. Johnson,"48,737","9,747",Democrat,5
Richard M. Nixon,"81,022","16,204",Republican,5
Gerald R. Ford,"82,316","27,439",Republican,3
Jimmy Carter,"105,378","26,345",Democrat,4
Ronald Reagan,"168,364","21,046",Republican,8
George Bush,"141,326","35,332",Republican,4
Bill Clinton,"869,646","108,706",Democrat,8
George W. Bush,"2,012,539","251,567",Republican,8
Barack Obama,"3,066,457","383,307",Democrat,8
Donald J. Trump,"551,449","275,725",Republican,2
